repository_name,github_url
SRAM/RacerMateDLL,https://github.com/SRAM/RacerMateDLL
SSshuishui/viss_recon,https://github.com/SSshuishui/viss_recon
SZU-AdvTech-2023/041-ASIFT-A-New-Framework-for-Fully-Affine-Invariant-Image-Comparison,https://github.com/SZU-AdvTech-2023/041-ASIFT-A-New-Framework-for-Fully-Affine-Invariant-Image-Comparison
Saikarr/CUDA-KMeans,https://github.com/Saikarr/CUDA-KMeans
Seuss-MD/lab05-Apollo-11,https://github.com/Seuss-MD/lab05-Apollo-11
Sharadeos/Polybius,https://github.com/Sharadeos/Polybius
Shihab-Shahriar/brownian-dynamics-orig,https://github.com/Shihab-Shahriar/brownian-dynamics-orig
Sigfrido11/Rocket_simulator,https://github.com/Sigfrido11/Rocket_simulator
SimonB6/OpenFLIGHT,https://github.com/SimonB6/OpenFLIGHT
StanfordASL/GMT,https://github.com/StanfordASL/GMT
SwaggyTyrion/CADAC,https://github.com/SwaggyTyrion/CADAC
TACIXAT/zmine,https://github.com/TACIXAT/zmine
TEXStudio/xs3k,https://github.com/TEXStudio/xs3k
ToruNiina/lbvh,https://github.com/ToruNiina/lbvh
Tovrik/ECS158HomeworkFinal,https://github.com/Tovrik/ECS158HomeworkFinal
TrimanSingh/temporal-GPU-algos,https://github.com/TrimanSingh/temporal-GPU-algos
Tyson89/Landrover,https://github.com/Tyson89/Landrover
UoB-HPC/miniBUDE,https://github.com/UoB-HPC/miniBUDE
WagleyResearch/ModelRocket,https://github.com/WagleyResearch/ModelRocket
Wajov/ClothSimulator,https://github.com/Wajov/ClothSimulator
Whales/Cataclysm,https://github.com/Whales/Cataclysm
WongAndyStarSB/get_the_gold,https://github.com/WongAndyStarSB/get_the_gold
XanClic/g1,https://github.com/XanClic/g1
Yuanda-Dong/cuda,https://github.com/Yuanda-Dong/cuda
ZJUVAI/DRGraph,https://github.com/ZJUVAI/DRGraph
ZenProtocol-Pool/ccminer-zp,https://github.com/ZenProtocol-Pool/ccminer-zp
acarapetis/asteroid-civil-war,https://github.com/acarapetis/asteroid-civil-war
acemod/ACE3,https://github.com/acemod/ACE3
acfr/gpu-ray-surface-intersection-in-cuda,https://github.com/acfr/gpu-ray-surface-intersection-in-cuda
adnedelcu/halite-bot-2,https://github.com/adnedelcu/halite-bot-2
alan-turing-institute/mogp-emulator,https://github.com/alan-turing-institute/mogp-emulator
alexander-sholohov/msk144cudecoder,https://github.com/alexander-sholohov/msk144cudecoder
alexdantas/sdl2-platformer,https://github.com/alexdantas/sdl2-platformer
alibaba/ai-matrix,https://github.com/alibaba/ai-matrix
alireza-ebrahimi-ai/MadPodRacing-Gold,https://github.com/alireza-ebrahimi-ai/MadPodRacing-Gold
alstonliu730/HPC-Clustering-Benchmark,https://github.com/alstonliu730/HPC-Clustering-Benchmark
anthony-yip/parallel-portfolio-optimization,https://github.com/anthony-yip/parallel-portfolio-optimization
antonmks/Alenka,https://github.com/antonmks/Alenka
artuppp/PupilTrackingGPUPublic,https://github.com/artuppp/PupilTrackingGPUPublic
asbschmidt/CUDASW4,https://github.com/asbschmidt/CUDASW4
ashbash104/Apollo-11-Lab05,https://github.com/ashbash104/Apollo-11-Lab05
ashvardanian/ParallelReductionsBenchmark,https://github.com/ashvardanian/ParallelReductionsBenchmark
aspek1/QuadricCurvature,https://github.com/aspek1/QuadricCurvature
atilaneves/gravastar,https://github.com/atilaneves/gravastar
atomic14/esp-asteroids,https://github.com/atomic14/esp-asteroids
awaisAhmed19/Rockets,https://github.com/awaisAhmed19/Rockets
aydindemircioglu/LIBLINEAR.gpu,https://github.com/aydindemircioglu/LIBLINEAR.gpu
bensonmatt1029/Senior-Project,https://github.com/bensonmatt1029/Senior-Project
bentglasstube/empty-space,https://github.com/bentglasstube/empty-space
bgin/Radar-ElectroOptical-Simulation,https://github.com/bgin/Radar-ElectroOptical-Simulation
bingps/raft,https://github.com/bingps/raft
binshengliu/xgboost,https://github.com/binshengliu/xgboost
bkj/cuda_ppr,https://github.com/bkj/cuda_ppr
blaire9989/BEMsim3D,https://github.com/blaire9989/BEMsim3D
boxiXia/FlexipodFast,https://github.com/boxiXia/FlexipodFast
bramp/aoc,https://github.com/bramp/aoc
bridgecommand/bc,https://github.com/bridgecommand/bc
brownvc/shapefromtracing,https://github.com/brownvc/shapefromtracing
bryancatanzaro/copperhead-compiler,https://github.com/bryancatanzaro/copperhead-compiler
bryancatanzaro/kmeans,https://github.com/bryancatanzaro/kmeans
bryanzhang/matmul,https://github.com/bryanzhang/matmul
bzip2-cuda/bzip2-cuda,https://github.com/bzip2-cuda/bzip2-cuda
cavazos-lab/cisc372-lab-10,https://github.com/cavazos-lab/cisc372-lab-10
ccecka/fmmtl,https://github.com/ccecka/fmmtl
cemetery-gates/SDL_Asteroids,https://github.com/cemetery-gates/SDL_Asteroids
charlotte-visionlab/cuGridSearch,https://github.com/charlotte-visionlab/cuGridSearch
chegdan/cufflink-library,https://github.com/chegdan/cufflink-library
chenxuhao/gpuscc_code,https://github.com/chenxuhao/gpuscc_code
chribell/set_intersection,https://github.com/chribell/set_intersection
chrisblatchley/sumo-cuda,https://github.com/chrisblatchley/sumo-cuda
clickyotomy/huffman,https://github.com/clickyotomy/huffman
cradle/newtonia,https://github.com/cradle/newtonia
cran/cuml,https://github.com/cran/cuml
csbrady-warwick/GPOC-MINI,https://github.com/csbrady-warwick/GPOC-MINI
cuauv/software,https://github.com/cuauv/software
curtisseizert/CUDApix,https://github.com/curtisseizert/CUDApix
cusplibrary/cusplibrary,https://github.com/cusplibrary/cusplibrary
cvangysel/cuNVSM,https://github.com/cvangysel/cuNVSM
cwida/FastLanesGpu-Damon2025,https://github.com/cwida/FastLanesGpu-Damon2025
cyclone-tue/Vision_Marker_theory,https://github.com/cyclone-tue/Vision_Marker_theory
cyd3r/ransac,https://github.com/cyd3r/ransac
dcanelhas/cuRANSAC,https://github.com/dcanelhas/cuRANSAC
dcostan/AUV_controller,https://github.com/dcostan/AUV_controller
dean0x7d/pybinding,https://github.com/dean0x7d/pybinding
deeplearningais/CUV,https://github.com/deeplearningais/CUV
desert0616/gpma_demo,https://github.com/desert0616/gpma_demo
devint1/Descent-Mobile,https://github.com/devint1/Descent-Mobile
devpack/mayhem,https://github.com/devpack/mayhem
diegofinni/distributed-ml-mpi,https://github.com/diegofinni/distributed-ml-mpi
djm34/ccminer-lyra,https://github.com/djm34/ccminer-lyra
djm34/ccminer-msvc2015,https://github.com/djm34/ccminer-msvc2015
djm34/ccminer-sp-neoscrypt,https://github.com/djm34/ccminer-sp-neoscrypt
dlunion/tensorRTIntegrate,https://github.com/dlunion/tensorRTIntegrate
duhone/supertraders5000,https://github.com/duhone/supertraders5000
dyjdongyijun/Robust_Blockwise_Random_Pivoting,https://github.com/dyjdongyijun/Robust_Blockwise_Random_Pivoting
egordm/halite-collab-bot,https://github.com/egordm/halite-collab-bot
euan-forrester/ai-wisdom-3-sample,https://github.com/euan-forrester/ai-wisdom-3-sample
eureka-s1/CUDA,https://github.com/eureka-s1/CUDA
euschn/ingpu,https://github.com/euschn/ingpu
fabiangreffrath/wolf4sdl,https://github.com/fabiangreffrath/wolf4sdl
fabiangreffrath/woof,https://github.com/fabiangreffrath/woof
farceri/cudaRing,https://github.com/farceri/cudaRing
fbxiang/fluid,https://github.com/fbxiang/fluid
fegennari/3DWorld,https://github.com/fegennari/3DWorld
firoorg/ccminer,https://github.com/firoorg/ccminer
fpapleux/mcqueen,https://github.com/fpapleux/mcqueen
franrruiz/shopper-src,https://github.com/franrruiz/shopper-src
fynv/ThrustRTC,https://github.com/fynv/ThrustRTC
gabs1234/PyBVH,https://github.com/gabs1234/PyBVH
germannp/yalla,https://github.com/germannp/yalla
ggj/pvm,https://github.com/ggj/pvm
ghostlander/cudaminer-neoscrypt,https://github.com/ghostlander/cudaminer-neoscrypt
gitGNU/gnu_magnetar,https://github.com/gitGNU/gnu_magnetar
glotzerlab/hoomd-blue,https://github.com/glotzerlab/hoomd-blue
gnuradio/cusp,https://github.com/gnuradio/cusp
graemes/poolparty-x16r,https://github.com/graemes/poolparty-x16r
grzykiel/descent,https://github.com/grzykiel/descent
gunrock/gunrock,https://github.com/gunrock/gunrock
h2oai/h2o4gpu,https://github.com/h2oai/h2o4gpu
harp-lab/MNMGDatalog,https://github.com/harp-lab/MNMGDatalog
harp-lab/gdlog,https://github.com/harp-lab/gdlog
harryyoon777/PIC_FLIP_Fluid_Simulation,https://github.com/harryyoon777/PIC_FLIP_Fluid_Simulation
hatcat/Asteroids,https://github.com/hatcat/Asteroids
hatcat/StandardAsteroids,https://github.com/hatcat/StandardAsteroids
hengdashi/cuda_gcn,https://github.com/hengdashi/cuda_gcn
hijkzzz/cuda-neural-network,https://github.com/hijkzzz/cuda-neural-network
hillbig/gpuexperiments,https://github.com/hillbig/gpuexperiments
hkeee21/PCEngine,https://github.com/hkeee21/PCEngine
hpides/multi-gpu-sorting,https://github.com/hpides/multi-gpu-sorting
hpides/rmg-sort,https://github.com/hpides/rmg-sort
hsunekichi/GPU_render_engine_2023,https://github.com/hsunekichi/GPU_render_engine_2023
ianabel/MCTrans,https://github.com/ianabel/MCTrans
igfuw/libcloudphxx,https://github.com/igfuw/libcloudphxx
intel/double-batched-fft-library,https://github.com/intel/double-batched-fft-library
iori3662/2DoF_Rocketsim,https://github.com/iori3662/2DoF_Rocketsim
isi-nlp/Zoph_RNN,https://github.com/isi-nlp/Zoph_RNN
ivlab/FiniteElement,https://github.com/ivlab/FiniteElement
jacobaustin123/Titan,https://github.com/jacobaustin123/Titan
jaredhoberock/bulk,https://github.com/jaredhoberock/bulk
jasonflame3/apollo11,https://github.com/jasonflame3/apollo11
jaybnash/Xpilot-DCNN,https://github.com/jaybnash/Xpilot-DCNN
jbarciv/Asteroids-with-openGL,https://github.com/jbarciv/Asteroids-with-openGL
jclaar/zork,https://github.com/jclaar/zork
jdisset/grnbenchmarks,https://github.com/jdisset/grnbenchmarks
jdisset/shipEscape,https://github.com/jdisset/shipEscape
jefflarkin/openacc-interoperability,https://github.com/jefflarkin/openacc-interoperability
jeng1220/cuGemmProf,https://github.com/jeng1220/cuGemmProf
jerryreinoehl/ut-parallel-systems,https://github.com/jerryreinoehl/ut-parallel-systems
jlblancoc/suitesparse-metis-for-windows,https://github.com/jlblancoc/suitesparse-metis-for-windows
johnBuffer/AutoDrone,https://github.com/johnBuffer/AutoDrone
jonahshader/alife_cuda,https://github.com/jonahshader/alife_cuda
julcst/binrc,https://github.com/julcst/binrc
julienlopez/DeepSpaceRacer,https://github.com/julienlopez/DeepSpaceRacer
justinabrahms/avendar,https://github.com/justinabrahms/avendar
kagrze/rbm,https://github.com/kagrze/rbm
kalbert312/eod4sdl,https://github.com/kalbert312/eod4sdl
karimsayedre/CUDA-Ray-Tracing-In-One-Weekend,https://github.com/karimsayedre/CUDA-Ray-Tracing-In-One-Weekend
kazuya-iwami/Crazyflie,https://github.com/kazuya-iwami/Crazyflie
kernsuite-debian/bifrost,https://github.com/kernsuite-debian/bifrost
kevinhbhimani/EH-Drift,https://github.com/kevinhbhimani/EH-Drift
kevwargo/PR3-CUDA,https://github.com/kevwargo/PR3-CUDA
kgsws/kgdoom,https://github.com/kgsws/kgdoom
konstantinosfragkoulis/DroneCtrl,https://github.com/konstantinosfragkoulis/DroneCtrl
kouhei1970/3d_drone_sim,https://github.com/kouhei1970/3d_drone_sim
kyuepublic/ptychopy,https://github.com/kyuepublic/ptychopy
l3lackcurtains/fast-cuda-gpu-dbscan,https://github.com/l3lackcurtains/fast-cuda-gpu-dbscan
lacker/seticore,https://github.com/lacker/seticore
landonwilkins/asteroids,https://github.com/landonwilkins/asteroids
libretro/libretro-wolfenstein3d,https://github.com/libretro/libretro-wolfenstein3d
libsdl-org/Maelstrom,https://github.com/libsdl-org/Maelstrom
lihuaning/CUDA_collision_detection,https://github.com/lihuaning/CUDA_collision_detection
limhyon/esc32,https://github.com/limhyon/esc32
lochotan4794/parwise_conditional_gradient_cuda_c,https://github.com/lochotan4794/parwise_conditional_gradient_cuda_c
lstange/mcgs,https://github.com/lstange/mcgs
lukaszszvmczvk/ShoalOfFish,https://github.com/lukaszszvmczvk/ShoalOfFish
luszczek/hackdpotato,https://github.com/luszczek/hackdpotato
lwa-project/bifrost,https://github.com/lwa-project/bifrost
mad432/orbi,https://github.com/mad432/orbi
mahaupt/ST-Dispatch,https://github.com/mahaupt/ST-Dispatch
manylegged/outlaws-core,https://github.com/manylegged/outlaws-core
maoshuo1754/full_pipeline_process,https://github.com/maoshuo1754/full_pipeline_process
martinohanlon/mayhem-pi,https://github.com/martinohanlon/mayhem-pi
masayano/CLAST,https://github.com/masayano/CLAST
mattprompt/quadcopter_controller,https://github.com/mattprompt/quadcopter_controller
maximilianbehr/cuexpm,https://github.com/maximilianbehr/cuexpm
mdaiter/grealted,https://github.com/mdaiter/grealted
melanz/DVIDE,https://github.com/melanz/DVIDE
micromiss/Urho3D-Demo-AirFighter,https://github.com/micromiss/Urho3D-Demo-AirFighter
miki151/keeperrl,https://github.com/miki151/keeperrl
mlverse/cuda.ml,https://github.com/mlverse/cuda.ml
mozzwald/wolf4sdl,https://github.com/mozzwald/wolf4sdl
mpulkki/UltraLod_pub,https://github.com/mpulkki/UltraLod_pub
muhos/ParaFROST,https://github.com/muhos/ParaFROST
multiwii/baseflight,https://github.com/multiwii/baseflight
mzahana/MATMAV,https://github.com/mzahana/MATMAV
naikari/naikari,https://github.com/naikari/naikari
nanoandrew4/2D-Landing-Game,https://github.com/nanoandrew4/2D-Landing-Game
navdeep-G/dimreduce4gpu,https://github.com/navdeep-G/dimreduce4gpu
nemosminer/ccminer-KlausT-8.21-mod-r18-src-fix,https://github.com/nemosminer/ccminer-KlausT-8.21-mod-r18-src-fix
nemosminer/ccminerx16r-x16s,https://github.com/nemosminer/ccminerx16r-x16s
neudinger/equadiffGPU,https://github.com/neudinger/equadiffGPU
neurolabusc/AppleSiliconForNeuroimaging,https://github.com/neurolabusc/AppleSiliconForNeuroimaging
nickg/lander,https://github.com/nickg/lander
nicolasavru/ppf-registration-spatial-hashing,https://github.com/nicolasavru/ppf-registration-spatial-hashing
nilspin/VoxelHashing_demo,https://github.com/nilspin/VoxelHashing_demo
nodrogluap/OpenDBA,https://github.com/nodrogluap/OpenDBA
npk48/rwkv_cuda,https://github.com/npk48/rwkv_cuda
ordonemi/OrbitSimulator,https://github.com/ordonemi/OrbitSimulator
oresths/tSparse,https://github.com/oresths/tSparse
oscarmorand/Projet_IRGPUA,https://github.com/oscarmorand/Projet_IRGPUA
otcathatsya/push-relabel,https://github.com/otcathatsya/push-relabel
owensgroup/MVGpuBTree,https://github.com/owensgroup/MVGpuBTree
owl-project/owl-graph-drawing,https://github.com/owl-project/owl-graph-drawing
oxencoin/ccminer-blake2s,https://github.com/oxencoin/ccminer-blake2s
paragpathak2006/CudaRuntime1,https://github.com/paragpathak2006/CudaRuntime1
parapapere/superkomputery,https://github.com/parapapere/superkomputery
parthenon-hpc-lab/parthenon,https://github.com/parthenon-hpc-lab/parthenon
pbrook/ewolf3d,https://github.com/pbrook/ewolf3d
pgera/efg,https://github.com/pgera/efg
philippedax/vreng,https://github.com/philippedax/vreng
