repository,stars,forks,language,combined_score,files_analyzed,total_thrust_usage,total_api_calls,clone_size_mb,analysis_time_seconds,top_extension_by_thrust,thrust_files_count
ROCm/rocm-libraries,105,109,Assembly,1.3769999999999998,7843,41129,1458,131.64552307128906,43.297367,.cu,10
NVIDIA/cccl,1897,263,C++,19.759,3173,38874,1743,31.785043716430664,22.258856,.cu,10
ROCm/rocThrust,119,53,C++,1.349,1169,38883,1366,8.158308029174805,4.544274,.cu,10
Picsart-AI-Research/LIVE-Layerwise-Image-Vectorization,557,59,Python,5.747000000000001,1202,34869,1207,12.88404655456543,9.702712,.cu,10
MultithreadCorner/Hydra,112,21,C++,1.183,1958,13221,463,28.853960037231445,6.709187,.h,10
rapidsai/cugraph,2037,335,Cuda,21.375,680,10792,2331,9.47567367553711,7.068372,.cuh,10
ArtyZe/yolo_segmentation,188,43,Objective-C,2.009,1202,12790,171,112.43911075592041,13.24221,.h,10
oneapi-src/SYCLomatic,268,96,LLVM,2.968,22935,12479,350,312.4706106185913,59.155179,.cu,10
Gfans/UnifiedParticleFrameworkCUDA,132,15,C,1.365,1069,11855,198,107.67107200622559,11.588206,.h,10
cbuchner1/ccminer,285,1736,C,8.058,609,10253,121,4.41655158996582,3.463635,.h,10
tsiv/ccminer-cryptonight,278,283,C++,3.6289999999999996,569,10237,121,3.5540237426757812,4.010861,.h,10
rapidsai/cudf,9157,967,C++,94.471,1170,7754,1447,17.978028297424316,19.024079,.cu,10
neka-nat/cupoch,996,115,C++,10.305,416,6416,825,9.98678970336914,5.521179,.cu,10
cusplibrary/cusplibrary,416,134,C++,4.562,533,4717,511,3.8315811157226562,4.392111,.h,10
NVlabs/nvbio,219,52,C++,2.346,559,4378,536,7.689304351806641,4.172538,.h,10
NVIDIA/AMGX,591,160,Cuda,6.39,559,3797,383,7.977756500244141,6.383532,.cu,10
antonmks/Alenka,1173,120,Cuda,12.09,29,3132,395,0.6783447265625,1.384781,.cu,10
zjin-lcf/HeCBench,256,91,C++,2.833,4824,3151,137,48.85928153991699,17.765195,.cu,10
QMCPACK/qmcpack,354,148,C++,3.984,1474,3111,32,22.720189094543457,14.675226,.cu,10
fzi-forschungszentrum-informatik/gpu-voxels,313,83,C++,3.3789999999999996,644,2776,269,4.785127639770508,5.639248,.hpp,10
NVIDIA/cuopt,404,69,Cuda,4.247,465,2590,339,6.2677154541015625,5.357284,.cu,10
dmlc/xgboost,27312,8798,C++,100,392,2329,285,5.063020706176758,7.676542,.cu,10
NVIDIA/cuCollections,574,99,C++,6.037000000000001,206,2415,185,4.494062423706055,3.12398,.cu,10
uber/aresdb,3064,237,Go,31.351,34,2195,272,1.6437501907348633,3.117106,.hpp,10
zhongshp/Co-LRIO,100,11,C++,1.033,108,2081,76,1.4056215286254883,1.135761,.cu,10
PaddlePaddle/Paddle,23175,5799,C++,100,5280,1903,91,51.76641273498535,33.522621,.cu,10
rapidsai/raft,929,214,Cuda,9.932,938,1839,147,9.521317481994629,7.088145,.cuh,10
catboost/catboost,8557,1234,C++,89.272,8445,1919,26,105.44448471069336,39.246262,.h,10
h2oai/h2o4gpu,469,94,C++,4.9719999999999995,106,1853,70,1.9413518905639648,3.177677,.cu,10
GooFit/GooFit,138,41,Cuda,1.5030000000000001,305,1622,184,1.5842657089233398,2.511104,.cu,10
rapidsai/cuml,4912,589,C++,50.887,504,1534,160,8.746293067932129,10.714079,.cuh,10
projectchrono/chrono,2513,519,C++,26.686999999999998,2088,1530,54,27.086301803588867,30.771897,.cu,10
Qiskit/qiskit-aer,593,401,C++,7.132999999999999,161,1427,19,3.344862937927246,3.665288,.hpp,10
isce-framework/isce3,160,56,C++,1.768,464,1436,7,4.124916076660156,3.634639,.cu,10
abacusmodeling/abacus-develop,177,183,C++,2.319,1048,1425,0,9.467613220214844,8.079832,.cu,10
PointCloudLibrary/pcl,10591,4672,C++,100,1695,1168,104,25.498839378356934,29.473202,.cu,10
NVIDIA/accelerated-computing-hub,673,116,Jupyter Notebook,7.077999999999999,47,1192,10,1.289139747619629,3.295081,.h,10
eclipse-xacc/xacc,172,88,C++,1.984,1945,1178,15,22.360610008239746,7.585518,.hpp,10
isi-nlp/Zoph_RNN,186,65,C++,2.055,69,1129,3,1.5869970321655273,1.899956,.hpp,10
NVIDIA/cutlass,8364,1418,C++,87.89399999999999,2304,1117,0,55.108280181884766,27.52303,.cu,10
petsc/petsc,478,190,C,5.35,532,957,116,17.758930206298828,10.196751,.cu,10
quiver-team/torch-quiver,301,37,Python,3.1210000000000004,36,1002,50,0.42712974548339844,0.61314,.hpp,10
JanuszBedkowski/gpu_computing_in_robotics,466,128,C++,5.044,158,1008,43,19.933305740356445,13.316999,.cu,10
espressomd/espresso,251,191,C++,3.083,965,1011,5,9.837656021118164,10.047722,.cu,10
mc2-project/secure-xgboost,105,30,C++,1.14,295,867,109,4.852471351623535,2.124516,.cu,10
NVIDIA-Genomics-Research/GenomeWorks,295,75,Cuda,3.175,148,825,15,1.9826583862304688,2.614824,.cu,10
gadgetron/gadgetron,249,164,C++,2.9819999999999998,792,763,74,4.759011268615723,4.833647,.cu,10
ebirenbaum/ParticleSolver,183,18,C++,1.8840000000000001,369,760,73,2.9805240631103516,2.766634,.cu,7
rapidsai/cuvs,504,123,Cuda,5.409,728,772,59,7.568129539489746,8.872618,.cuh,10
darglein/saiga,128,28,C++,1.364,1153,752,31,16.74548625946045,7.020617,.cu,10
aboria/Aboria,108,32,C++,1.176,292,740,25,2.792548179626465,1.833971,.h,10
heavyai/heavydb,3026,456,C++,31.628,924,676,46,18.674057006835938,18.013984,.cu,10
microsoft/vattention,409,33,C,4.189,3688,696,0,71.01937866210938,18.258425,.cu,10
peridyno/peridyno,272,52,C++,2.8760000000000003,1413,596,75,20.3825626373291,8.154304,.cu,10
sangmichaelxie/doremi,341,34,HTML,3.512,2612,669,0,42.51232433319092,12.995249,.cu,10
HpWang-whu/YOHO,148,19,Python,1.537,70,570,81,1.5292587280273438,3.032402,.cu,10
HpWang-whu/RoReg,127,10,Python,1.3,70,570,81,1.5403022766113281,2.891254,.cu,10
pytorch/pytorch,92923,25165,Python,100,2801,574,40,38.67049503326416,23.940616,.cu,10
ZJU-FAST-Lab/Fast-tracker,234,42,C++,2.4659999999999997,209,523,71,2.0607728958129883,2.677405,.cu,8
glotzerlab/hoomd-blue,391,150,C++,4.36,555,516,41,7.385890960693359,6.429941,.cu,10
dingwentao/GPU-lossless-compression,116,11,Cuda,1.193,403,508,29,7.664434432983398,5.047875,.cu,10
TiledTensor/TiledCUDA,183,11,C++,1.8630000000000002,78,536,0,0.4671792984008789,0.740285,.cu,10
nvidia-isaac/nvblox,922,103,C++,9.529,308,482,15,2.985879898071289,2.894642,.cu,10
lawmurray/LibBi,101,22,C++,1.0759999999999998,414,457,38,1.9865665435791016,0.997365,.hpp,10
ddemidov/amgcl,805,129,C++,8.437000000000001,163,414,12,1.8249797821044922,1.218425,.hpp,4
torch/cunn,215,172,Cuda,2.6660000000000004,152,360,46,0.9371109008789062,0.944881,.cu,10
NVIDIA/kmeans,119,31,Cuda,1.2830000000000001,10,403,2,0.07861709594726562,0.283944,.cu,7
kaust-csg-uaamg/uaamg,182,16,C++,1.868,158,387,12,6.859414100646973,5.370671,.hpp,3
LLNL/hiop,219,45,C++,2.325,179,363,21,2.7104053497314453,2.325975,.cu,4
szellmann/visionaray,440,37,C++,4.511,286,383,0,1.5305242538452148,2.038609,.cu,10
AnkaChan/Gaia,697,45,Raku,7.105,223,333,43,4.170177459716797,7.311091,.cuh,5
koide3/gtsam_points,320,57,C++,3.3710000000000004,159,346,22,1.120091438293457,1.858942,.cu,10
OpenGP/htrack,221,80,C++,2.45,181,358,4,0.9360370635986328,2.096358,.h,10
SmileiPIC/Smilei,388,132,C++,4.276,298,334,12,5.938199996948242,9.591084,.cu,3
gunrock/gunrock,1039,212,C++,11.026,96,336,6,0.5355844497680664,0.591301,.cu,10
dealii/dealii,1543,792,C++,17.805999999999997,17358,304,34,208.25037670135498,52.994168,.hpp,8
torch/DEPRECEATED-torch7-distro,224,67,C,2.441,260,292,34,3.416659355163574,6.169994,.cu,10
zju3dv/mlp_maps,239,9,Cuda,2.417,165,311,10,3.747988700866699,3.087868,.cu,10
OriginQ/QPanda-2,1166,95,C++,11.945,1062,285,1,15.865769386291504,14.962027,.cu,3
MuGdxy/muda,185,8,C++,1.874,312,256,28,2.3359575271606445,2.557649,.h,10
ashawkey/cubvh,221,19,C++,2.267,18,264,14,0.32529258728027344,0.332595,.cuh,2
ANNetGPGPU/ANNetGPGPU,109,20,C++,1.15,71,245,30,0.7181224822998047,1.080488,.cu,7
ethereal-developers/OpenScan,1637,102,C++,16.676,218,257,10,5.378191947937012,6.448904,.hpp,3
js1010/cuhnsw,163,26,Cuda,1.7080000000000002,13,250,0,0.13249778747558594,0.346149,.cu,4
CubbyFlow/CubbyFlow,287,34,C++,2.972,444,231,14,3.1425294876098633,4.287082,.cu,10
MatrixAINetwork/MATRIX_AI,131,92,C,1.5859999999999999,16,227,18,1.4653997421264648,3.050241,.cu,10
meiqua/pose_refine,100,25,C++,1.075,16,231,11,0.15372467041015625,0.306557,.cu,9
ashwin/gDel3D,165,35,C++,1.755,26,220,11,0.4506044387817383,0.847612,.cu,8
pghysels/STRUMPACK,176,42,C++,1.886,164,214,10,2.476405143737793,3.450697,.cu,3
NVIDIA/VisRTX,259,34,C++,2.6919999999999997,781,203,18,54.87050151824951,9.175424,.cu,8
NVIDIA/CUDALibrarySamples,2080,407,Cuda,22.021,612,211,9,5.751988410949707,5.457269,.hpp,10
stotko/stdgpu,1234,90,C++,12.61,138,199,14,0.995600700378418,1.308538,.h,10
ginkgo-project/ginkgo,502,99,C++,5.317,747,208,4,6.895733833312988,8.167498,.hpp,10
ColfaxResearch/cutlass-kernels,230,35,Cuda,2.405,20,204,3,0.2878570556640625,0.443253,.cu,7
visinf/dpp,116,23,Cuda,1.229,167,197,10,0.8778209686279297,0.924868,.cu,10
plumed/plumed2,446,308,C++,5.3839999999999995,276,206,0,14.02352523803711,11.000955,.cu,2
facebookresearch/pytorch3d,9485,1396,Python,99.038,110,188,11,3.8522119522094727,7.19956,.cuh,4
ToruNiina/lbvh,219,32,Cuda,2.286,8,170,24,0.08162117004394531,0.273033,.cuh,4
arrayfire/arrayfire,4772,549,C++,49.367,1031,173,6,7.763976097106934,8.449764,.hpp,8
hlrs-vis/covise,197,90,C++,2.24,6011,142,4,63.18202781677246,23.484703,.h,10
amiradridi/Job-Resume-Matching,125,34,Python,1.3519999999999999,7792,131,0,76.54041004180908,18.516862,.h,10
WindQAQ/MPM,116,18,C,1.214,293,126,3,6.273175239562988,1.672547,.cu,5
Xtra-Computing/thundergbm,705,88,C++,7.314,54,112,16,0.6215248107910156,1.829604,.cu,10
HaohaoNJU/CenterPoint,305,57,C++,3.221,165,122,2,2.913966178894043,9.394255,.cu,3
VIA-Research/uPIMulator,147,24,C,1.5419999999999998,600,118,6,3.156221389770508,2.821586,.cu,7
parallel101/course,4068,554,C++,42.342,1530,118,4,8.701369285583496,6.136675,.cu,6
KemengHuang/GPU_IPC,129,16,Cuda,1.338,52,116,6,1.612283706665039,1.750108,.cu,3
NVIDIA-Merlin/HugeCTR,1031,205,C++,10.925,558,98,15,5.841876983642578,5.891209,.cuh,10
amusecode/amuse,174,108,C,2.064,387,102,11,25.265681266784668,14.213394,.cu,4
NVIDIA/nvbench,713,87,Cuda,7.391,147,109,0,1.0469436645507812,1.955116,.cu,8
owensgroup/RXMesh,268,38,Cuda,2.7939999999999996,257,106,1,2.725412368774414,3.711313,.h,10
agency-library/agency,153,27,C++,1.611,486,106,0,2.1505298614501953,1.326305,.cu,10
rapidsai/rmm,613,225,C++,6.805,92,95,3,1.0313215255737305,1.999445,.hpp,10
tensorflow/recommenders-addons,621,143,Cuda,6.638999999999999,116,92,3,3.4404544830322266,3.482232,.cuh,10
JamesPerlman/TurboNeRF,315,18,C,3.2039999999999997,103,90,5,1.676762580871582,1.629186,.cuh,7
zenustech/zeno,1372,156,C++,14.187999999999999,1573,82,1,26.940987586975098,16.967367,.cu,10
ashvardanian/ParallelReductionsBenchmark,105,10,C++,1.08,7,76,4,0.16203689575195312,0.368254,.cuh,2
spirit-code/spirit,129,55,C++,1.455,1039,77,0,22.439077377319336,10.105134,.cuh,10
st-tech/ppf-contact-solver,115,5,Python,1.165,46,70,5,0.8908319473266602,1.214801,.cu,4
sundyCoder/DEye,890,371,C++,10.013,1740,73,0,30.62907314300537,12.965279,.cuh,9
ArchaeaSoftware/cudahandbook,536,192,Cuda,5.936,195,71,1,1.2769184112548828,0.847084,.cu,9
GPUSPH/gpusph,181,66,C++,2.008,213,65,7,2.1551923751831055,3.595405,.cu,2
gtn-org/gtn,126,12,C++,1.296,39,69,2,1.1011743545532227,1.96141,.cu,4
Zielon/INSTA-pytorch,133,8,C,1.354,80,61,7,2.5692882537841797,2.38094,.cu,3
CMU-SAFARI/prim-benchmarks,162,60,C,1.8,128,62,4,0.5222930908203125,0.499342,.cu,3
zhouxian/FluidLab,226,20,C++,2.32,480,65,0,14.936064720153809,5.180521,.cuh,8
JenifferWuUCLA/pulmonary-nodules-MaskRCNN,211,94,Jupyter Notebook,2.392,1946,61,1,135.8568935394287,31.440663,.cu,6
codereport/Content,221,19,C++,2.267,8,51,9,0.14748573303222656,0.729684,.cu,8
bbuhrow/yafu,282,39,C,2.937,322,59,0,6.308420181274414,5.950274,.cuh,10
Chia-Network/bladebit,328,100,C,3.58,286,58,0,9.513278007507324,6.980415,.cuh,10
benfred/implicit,3703,622,Python,38.896,20,50,7,0.20908164978027344,0.369079,.cu,4
ztxz16/fastllm,3888,399,C++,40.077,63,49,5,1.966806411743164,2.064922,.cu,2
morris821028/UVa,571,269,C++,6.517,96,50,3,6.883735656738281,10.320877,.cu,3
alibaba/ai-matrix,187,78,Jupyter Notebook,2.104,742,49,2,9.755075454711914,9.425085,.h,6
kuiwuchn/GPUMPM,301,37,C++,3.1210000000000004,73,46,3,0.5933475494384766,0.484431,.hpp,6
h2oai/h2o-tutorials,1495,998,Jupyter Notebook,17.944000000000003,15,46,1,4.34366512298584,10.91362,.cu,2
sandialabs/omega_h,119,55,C++,1.355,166,43,3,1.3441743850708008,2.514634,.hpp,2
penn-graphics-research/claymore,216,31,Cuda,2.253,134,44,1,2.453672409057617,2.459196,.cuh,4
botforge/CUDA-ScanMatcher-ICP,159,20,Cuda,1.65,166,40,3,3.3556509017944336,2.258591,.cu,6
BachiLi/redner,1422,141,NASL,14.642999999999999,58,42,0,2.8852081298828125,2.27155,.h,2
NVIDIA-ISAAC-ROS/isaac_ros_nvblox,565,102,C++,5.956,53,38,3,0.45503807067871094,0.487314,.cu,6
bryancatanzaro/copperhead,208,26,Python,2.158,10,33,0,0.18475055694580078,0.408566,.hpp,1
SJTU-IPADS/wukong,190,29,C++,1.9869999999999999,76,31,1,1.4569091796875,2.126141,.hpp,3
dean0x7d/pybinding,198,72,C++,2.1959999999999997,78,31,0,0.7422885894775391,1.215244,.cu,5
XuezheMax/megalodon,523,54,Cuda,5.392,27,25,1,0.5046453475952148,2.258866,.h,7
LCH1238/bevdet-tensorrt-cpp,275,54,C++,2.912,16,23,1,0.1740274429321289,0.409533,.cu,3
xlvector/learning-dl,227,123,Python,2.639,5,22,2,0.07482624053955078,0.570747,.cu,2
risc0/risc0,1973,628,C++,21.614,114,20,2,17.21575355529785,10.202118,.cu,3
VAST-AI-Research/Deformable-Radial-Kernel-Splatting,189,9,Python,1.9169999999999998,623,22,0,4.741998672485352,5.95166,.cu,1
NVIDIA-Merlin/HierarchicalKV,169,29,Cuda,1.777,48,22,0,1.8901023864746094,1.509914,.cuh,3
Xtra-Computing/FedTree,148,41,C++,1.6030000000000002,50,20,2,1.463913917541504,1.579216,.h,3
deeplearningais/curfil,183,63,C++,2.019,28,20,1,0.5436697006225586,1.413126,.cu,1
ovilab/atomify,158,23,C++,1.649,2228,16,2,31.32493782043457,13.308149,.hpp,2
paboyle/Grid,165,118,C++,2.004,414,17,0,6.443148612976074,4.031496,.h,2
aerostack2/aerostack2,226,56,C++,2.428,187,15,0,2.8941450119018555,5.74432,.hpp,10
uos/lvr2,138,19,C++,1.4369999999999998,809,10,2,6.50068473815918,8.068188,.cu,2
dlunion/tensorRTIntegrate,469,113,C++,5.029,68,11,0,1.107473373413086,1.699623,.hpp,2
lppllppl920/SAGE-SLAM,109,11,C++,1.123,2456,11,0,33.704307556152344,4.772621,.hpp,5
mit-aera/FlightGoggles,427,101,C++,4.573,19,10,0,0.5961122512817383,1.772406,.hpp,2
reed-lau/cute-gemm,131,39,C++,1.4269999999999998,589,10,0,11.819851875305176,5.927797,.hpp,3
arborx/ArborX,209,43,C++,2.219,146,8,1,1.1925239562988281,1.559996,.hpp,1
ThomasKroes/exposure-render,116,38,C++,1.274,77,7,1,0.740138053894043,1.538326,.cuh,1
DawyD/bm3d-gpu,127,31,C,1.3630000000000002,9,6,0,2.80100154876709,1.908956,.hpp,1
