repository,file_path,extension,size_bytes,total_thrust,nvidia_apis,thrust_patterns
ROCm/rocm-libraries,projects/rocthrust/testing/partition.cu,.cu,46207,1127,116,"{'thrust::': 490, '#include\\s*<thrust/': 7, 'thrust\\s*::\\s*\\w+': 490, 'device_vector\\s*<': 78, 'host_vector\\s*<': 62}"
ROCm/rocm-libraries,projects/rocthrust/thrust/binary_search.h,.h,82094,724,0,"{'thrust::': 292, '#include\\s*<thrust/': 88, 'thrust\\s*::\\s*\\w+': 292, 'device_vector\\s*<': 52}"
ROCm/rocm-libraries,projects/rocthrust/testing/transform.cu,.cu,24120,482,61,"{'thrust::': 205, '#include\\s*<thrust/': 8, 'thrust\\s*::\\s*\\w+': 205, 'device_vector\\s*<': 37, 'host_vector\\s*<': 27}"
ROCm/rocm-libraries,projects/rocthrust/testing/copy.cu,.cu,22065,425,26,"{'thrust::': 173, '#include\\s*<thrust/': 10, 'thrust\\s*::\\s*\\w+': 173, 'device_vector\\s*<': 38, 'host_vector\\s*<': 31}"
ROCm/rocm-libraries,projects/rocthrust/testing/complex.cu,.cu,26405,415,0,"{'thrust::': 198, '#include\\s*<thrust/': 2, 'thrust\\s*::\\s*\\w+': 198, 'device_vector\\s*<': 1, 'host_vector\\s*<': 16}"
ROCm/rocm-libraries,projects/rocthrust/testing/async_reduce.cu,.cu,37165,399,12,"{'thrust::': 185, '#include\\s*<thrust/': 1, 'thrust\\s*::\\s*\\w+': 185, 'device_vector\\s*<': 18, 'host_vector\\s*<': 10}"
ROCm/rocm-libraries,projects/rocthrust/testing/scan.cu,.cu,25863,361,39,"{'thrust::': 155, '#include\\s*<thrust/': 8, 'thrust\\s*::\\s*\\w+': 155, 'device_vector\\s*<': 26, 'host_vector\\s*<': 17}"
ROCm/rocm-libraries,projects/rocthrust/testing/unique_by_key.cu,.cu,18717,361,30,"{'thrust::': 153, '#include\\s*<thrust/': 4, 'thrust\\s*::\\s*\\w+': 153, 'device_vector\\s*<': 28, 'host_vector\\s*<': 23}"
ROCm/rocm-libraries,projects/rocthrust/testing/remove.cu,.cu,18085,352,22,"{'thrust::': 149, '#include\\s*<thrust/': 6, 'thrust\\s*::\\s*\\w+': 149, 'device_vector\\s*<': 30, 'host_vector\\s*<': 18}"
ROCm/rocm-libraries,projects/rocthrust/testing/transform_scan.cu,.cu,14475,307,43,"{'thrust::': 139, '#include\\s*<thrust/': 6, 'thrust\\s*::\\s*\\w+': 139, 'device_vector\\s*<': 15, 'host_vector\\s*<': 8}"
NVIDIA/cccl,thrust/testing/partition.cu,.cu,45315,1114,110,"{'thrust::': 484, '#include\\s*<thrust/': 6, 'thrust\\s*::\\s*\\w+': 484, 'device_vector\\s*<': 78, 'host_vector\\s*<': 62}"
NVIDIA/cccl,thrust/thrust/binary_search.h,.h,82136,616,0,"{'thrust::': 238, '#include\\s*<thrust/': 88, 'thrust\\s*::\\s*\\w+': 238, 'device_vector\\s*<': 52}"
NVIDIA/cccl,thrust/testing/catch2_test_transform.cu,.cu,22263,457,66,"{'thrust::': 193, '#include\\s*<thrust/': 7, 'thrust\\s*::\\s*\\w+': 193, 'device_vector\\s*<': 37, 'host_vector\\s*<': 27}"
NVIDIA/cccl,thrust/testing/copy.cu,.cu,21802,403,16,"{'thrust::': 162, '#include\\s*<thrust/': 10, 'thrust\\s*::\\s*\\w+': 162, 'device_vector\\s*<': 38, 'host_vector\\s*<': 31}"
NVIDIA/cccl,thrust/testing/complex.cu,.cu,25539,415,0,"{'thrust::': 198, '#include\\s*<thrust/': 2, 'thrust\\s*::\\s*\\w+': 198, 'device_vector\\s*<': 1, 'host_vector\\s*<': 16}"
