repository_name,github_url
00george/Driverless-Sim,https://github.com/00george/Driverless-Sim
0426orange/Apollo-Project,https://github.com/0426orange/Apollo-Project
0chonko/HPC-net-bench,https://github.com/0chonko/HPC-net-bench
0xMaka/barraCUDA,https://github.com/0xMaka/barraCUDA
11011010/BFA-Frankenstein-Core,https://github.com/11011010/BFA-Frankenstein-Core
1180779/SpheresRaycasting,https://github.com/1180779/SpheresRaycasting
11thmeu/comp,https://github.com/11thmeu/comp
130120013/MathExprParser,https://github.com/130120013/MathExprParser
1337bowen/TitanSoftwareArchive,https://github.com/1337bowen/TitanSoftwareArchive
13Karl/CUDA-Image-and-Video-codec,https://github.com/13Karl/CUDA-Image-and-Video-codec
1581304415qq/BetaFlight-ESP32,https://github.com/1581304415qq/BetaFlight-ESP32
2000gmod/ProyectoSoftcomputing,https://github.com/2000gmod/ProyectoSoftcomputing
2005HAK/Terra,https://github.com/2005HAK/Terra
216k155/ccminer-phi-anxmod,https://github.com/216k155/ccminer-phi-anxmod
2656657838/live-face-detection,https://github.com/2656657838/live-face-detection
2bite/ARK-SDK,https://github.com/2bite/ARK-SDK
2lian/Legged-Robot-Movability-Cuda,https://github.com/2lian/Legged-Robot-Movability-Cuda
34th-Arma-Company/Phantom-Company-Aux-Mod,https://github.com/34th-Arma-Company/Phantom-Company-Aux-Mod
3drobotics/PX4Firmware-solo,https://github.com/3drobotics/PX4Firmware-solo
3drobotics/ardupilot-solo-rebase,https://github.com/3drobotics/ardupilot-solo-rebase
3noix/UJPS,https://github.com/3noix/UJPS
44697665727365/ASA,https://github.com/44697665727365/ASA
4dmud/mud,https://github.com/4dmud/mud
565353780/chamfer-distance,https://github.com/565353780/chamfer-distance
686879/Myardupilot-4.5.5,https://github.com/686879/Myardupilot-4.5.5
8fm/openw3,https://github.com/8fm/openw3
95616ARG/SyReNN_GPU,https://github.com/95616ARG/SyReNN_GPU
95A31/MDD-LNS,https://github.com/95A31/MDD-LNS
96lives/ssen,https://github.com/96lives/ssen
9woods123/Airsim_faster_rgbd,https://github.com/9woods123/Airsim_faster_rgbd
A-006/lcao,https://github.com/A-006/lcao
ABCnutter/Deploy,https://github.com/ABCnutter/Deploy
AFMartinezF/mfem_prueba,https://github.com/AFMartinezF/mfem_prueba
AFei19911012/PythonSamples,https://github.com/AFei19911012/PythonSamples
AHAEIVA/DFKI_tests,https://github.com/AHAEIVA/DFKI_tests
AIS-SNU/PathWeaver,https://github.com/AIS-SNU/PathWeaver
AMS21/PreyRun,https://github.com/AMS21/PreyRun
ANCL/UAV_DOBBS,https://github.com/ANCL/UAV_DOBBS
ANCL/UAV_DOBIBS,https://github.com/ANCL/UAV_DOBIBS
ANCL/UAV_DOBIBS_DRAG,https://github.com/ANCL/UAV_DOBIBS_DRAG
ANCL/UAV_DOBIBS_V2,https://github.com/ANCL/UAV_DOBIBS_V2
ANL-CESAR/RSBench,https://github.com/ANL-CESAR/RSBench
AOSPA/android_kernel_xiaomi_msm8953,https://github.com/AOSPA/android_kernel_xiaomi_msm8953
AOSPA/android_kernel_xiaomi_msm8998,https://github.com/AOSPA/android_kernel_xiaomi_msm8998
APM602/APM602,https://github.com/APM602/APM602
ARG-NCTU/seadrone_ros,https://github.com/ARG-NCTU/seadrone_ros
ASA-Simulation/mixr,https://github.com/ASA-Simulation/mixr
