framework,gpu,fastest_time,fastest_ms,total_timings_found,timestamp
CUDA,NVIDIA TESLA T4,,,0,2025-07-04T18:04:27.043081
Triton,NVIDIA TESLA T4,,,0,2025-07-04T18:04:30.058942
PyTorch,NVIDIA TESLA T4,,,0,2025-07-04T18:04:33.075859
Mojo,NVIDIA TESLA T4,,,0,2025-07-04T18:04:36.091469
TinyGrad,NVIDIA TESLA T4,,,0,2025-07-04T18:04:39.839124
